Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,IPS/Touchscreen,width,height,Memory_plusCapacite,Mermory_plusType,Mermory_Type
Asus,Notebook,15.6,Intel Core i3,4,1024.0,Intel HD,Linux,2,20725.92,Touchscreen,1920,1080,0.0,Any,HDD
Dell,Gaming,15.6,Intel Core i7,16,256.0,Nvidia GeForce,Windows,2.65,79866.72,IPS,1920,1080,1024.0,HDD,SSD
Asus,Notebook,15.6,Intel Core i5,8,1024.0,Nvidia GeForce,Linux,2.3,27864.9072,Touchscreen,1366,768,0.0,Any,HDD
Acer,Notebook,15.6,Intel Core i5,4,256.0,Intel UHD,Windows,2.2,36336.96,IPS,1920,1080,0.0,Any,SSD
Dell,2 in 1 Convertible,17.3,Intel Core i5,12,1024.0,Nvidia GeForce,Windows,2.77,53226.72,Touchscreen,1920,1080,0.0,Any,HDD
Apple,Ultrabook,13.3,Intel Core i5,8,256.0,Intel Iris,OS,1.37,75604.31999999999,IPS,2560,1600,0.0,Any,SSD
Lenovo,Notebook,15.6,Intel Core i3,4,128.0,Intel HD,No OS,2.2,19660.32,Touchscreen,1366,768,0.0,Any,SSD
Asus,Gaming,17.3,AMD,8,256.0,AMD Radeon,Windows,3.2,69210.72,Touchscreen,1920,1080,1024.0,HDD,SSD
Dell,Notebook,15.6,Intel Core i5,4,256.0,AMD Radeon,Windows,2.3,34045.92,Touchscreen,1920,1080,0.0,Any,SSD
Asus,Notebook,17.3,Intel,4,1024.0,Nvidia GeForce,Windows,2.8,24828.48,Touchscreen,1366,768,0.0,Any,HDD
Lenovo,2 in 1 Convertible,10.1,Intel,4,64.0,Intel HD,Android,0.69,16996.32,IPS/Touchscreen,1920,1200,0.0,Any,Flash
Acer,Notebook,15.6,Intel Core i7,8,256.0,Nvidia GeForce,Windows,2.2,44808.48,IPS,1920,1080,0.0,Any,SSD
HP,Notebook,15.6,AMD,4,256.0,AMD Radeon,Windows,1.86,21231.5472,Touchscreen,1920,1080,0.0,Any,SSD
HP,Notebook,13.3,Intel Core i7,8,512.0,Intel UHD,Windows,1.49,58767.84,Touchscreen,1920,1080,0.0,Any,SSD
Acer,Notebook,15.6,Intel Core i3,4,1024.0,Intel HD,Windows,2.4,20459.52,Touchscreen,1366,768,0.0,Any,HDD
Dell,Notebook,15.6,Intel Core i7,8,256.0,AMD Radeon,Windows,2.13,40908.384,Touchscreen,1920,1080,0.0,Any,SSD
HP,Notebook,15.6,Intel Core i3,4,128.0,Intel HD,Windows,1.91,23389.92,Touchscreen,1920,1080,0.0,Any,SSD
Asus,Notebook,15.6,Intel Core i5,4,256.0,Intel HD,Windows,2,31232.203200000004,Touchscreen,1366,768,0.0,Any,SSD
MSI,Gaming,17.3,Intel Core i7,16,256.0,Nvidia GeForce,Windows,2.43,130482.72,Touchscreen,1920,1080,2048.0,HDD,SSD
Asus,Notebook,15.6,Intel Core i3,4,256.0,Intel HD,Linux,2,22111.2,Touchscreen,1920,1080,0.0,Any,SSD
Dell,Notebook,17.3,Intel Core i7,16,256.0,AMD Radeon,Windows,2.8,69210.72,Touchscreen,1920,1080,2048.0,HDD,SSD
Dell,Ultrabook,14.0,Intel Core i5,8,256.0,Intel UHD,Windows,1.7,46833.12,Touchscreen,1920,1080,0.0,Any,SSD
Lenovo,Notebook,14.0,Intel Core i3,8,256.0,Intel HD,No OS,1.7,31914.72,IPS,1920,1080,0.0,Any,SSD
Asus,Notebook,14.0,Intel Core i5,8,256.0,Intel UHD,Windows,1.4,50136.48,Touchscreen,1920,1080,0.0,Any,SSD
HP,Notebook,15.6,Intel Core i5,8,256.0,Intel HD,Windows,1.86,36763.2,Touchscreen,1920,1080,0.0,Any,SSD
Asus,Ultrabook,15.6,Intel Core i7,16,512.0,Nvidia GeForce,Windows,1.8,105654.24,Touchscreen,1920,1080,0.0,Any,SSD
HP,Notebook,15.6,Intel Core i3,4,500.0,AMD Radeon,Windows,1.86,23373.4032,Touchscreen,1366,768,0.0,Any,HDD
HP,Notebook,14.0,Intel,4,32.0,Intel HD,Windows,1.44,12201.12,Touchscreen,1366,768,0.0,Any,SSD
Lenovo,Notebook,15.6,Intel Core i5,4,1024.0,Intel HD,Windows,1.9,29250.72,Touchscreen,1920,1080,0.0,Any,HDD
Asus,Gaming,17.3,Intel Core i7,12,1024.0,Nvidia GeForce,Linux,3,50562.72,Touchscreen,1920,1080,0.0,Any,HDD
Microsoft,Ultrabook,13.5,Intel Core i5,4,128.0,Intel HD,Windows,1.252,58021.92,Touchscreen,2256,1504,0.0,Any,SSD
Dell,Ultrabook,13.3,Intel Core i7,8,256.0,AMD Radeon,Windows,1.4,50882.4,IPS,1920,1080,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i7,8,256.0,AMD Radeon,Windows,2.2,46353.6,Touchscreen,1920,1080,0.0,Any,SSD
MSI,Gaming,17.3,Intel Core i5,8,128.0,Nvidia GeForce,Windows,2.7,58341.6,Touchscreen,1920,1080,1024.0,HDD,SSD
Acer,Notebook,14.0,Intel Core i3,8,1024.0,Intel HD,Windows,2.1,20725.92,Touchscreen,1366,768,0.0,Any,HDD
Asus,Gaming,15.6,Intel Core i7,8,1024.0,Nvidia GeForce,Windows,2.2,50562.72,Touchscreen,1920,1080,0.0,Any,HDD
Lenovo,Notebook,15.6,Intel Core i5,8,2048.0,Intel HD,No OS,2.2,27652.32,Touchscreen,1920,1080,0.0,Any,HDD
Dell,Notebook,15.6,Intel Core i7,8,128.0,Intel UHD,Windows,2.02,45554.4,Touchscreen,1920,1080,1024.0,HDD,SSD
Acer,Notebook,15.6,Intel Core i3,4,1024.0,Nvidia GeForce,Windows,2.2,28238.4,Touchscreen,1920,1080,0.0,Any,HDD
HP,Notebook,17.3,Intel Core i5,8,128.0,Nvidia GeForce,Windows,2.5,52054.56,Touchscreen,1920,1080,1024.0,HDD,SSD
Dell,Ultrabook,15.6,Intel Core i5,8,256.0,Intel UHD,Windows,1.88,58403.4048,IPS,1920,1080,0.0,Any,SSD
Apple,Ultrabook,12.0,Intel Core i5,8,512.0,Intel HD,OS,0.92,80452.8,IPS,2304,1440,0.0,Any,SSD
HP,Notebook,14.0,Intel Core i5,8,256.0,Intel HD,Windows,1.63,45820.8,Touchscreen,1920,1080,0.0,Any,SSD
Lenovo,Notebook,15.6,AMD,4,128.0,AMD R4,Windows,2.2,21258.72,Touchscreen,1920,1080,0.0,Any,SSD
Acer,Notebook,15.6,AMD,4,1024.0,AMD Radeon,Windows,2.1,21045.6,Touchscreen,1366,768,0.0,Any,HDD
Dell,Gaming,15.6,Intel Core i7,16,128.0,Nvidia GeForce,Windows,2.65,71874.72,IPS,1920,1080,1024.0,HDD,SSD
HP,Ultrabook,15.6,Intel Core i7,8,256.0,Nvidia GeForce,Windows,1.83,37242.72,IPS,1920,1080,0.0,Any,SSD
HP,Notebook,15.6,Intel Core i5,8,256.0,Intel HD,Windows,1.96,31914.1872,Touchscreen,1920,1080,0.0,Any,SSD
Asus,Gaming,15.6,Intel Core i7,16,128.0,Nvidia GeForce,Windows,2.2,77202.72,IPS,1920,1080,1024.0,HDD,SSD
Dell,Ultrabook,13.3,Intel Core i7,8,256.0,Intel UHD,Windows,1.21,87858.72,IPS,1920,1080,0.0,Any,SSD
Asus,Gaming,15.6,AMD,8,1024.0,AMD Radeon,Windows,2.45,37242.72,Touchscreen,1920,1080,0.0,Any,HDD
Acer,Notebook,15.6,Intel Core i7,8,1024.0,Nvidia GeForce,Windows,2.2,36709.92,Touchscreen,1920,1080,0.0,Any,HDD
HP,Notebook,13.3,Intel Core i7,16,512.0,Intel UHD,Windows,1.49,63776.16,Touchscreen,1920,1080,0.0,Any,SSD
Dell,Gaming,15.6,Intel Core i5,8,256.0,Nvidia GeForce,Windows,2.65,63669.6,Touchscreen,1920,1080,0.0,Any,SSD
Asus,Ultrabook,14.0,Intel Core i7,8,256.0,Intel HD,Windows,1.25,55890.72,Touchscreen,1920,1080,0.0,Any,SSD
Acer,2 in 1 Convertible,13.3,Intel Core i5,8,256.0,Intel UHD,Windows,1.5,45128.16,IPS/Touchscreen,1920,1080,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i7,8,1024.0,AMD Radeon,Linux,2.2,31962.672,Touchscreen,1920,1080,0.0,Any,HDD
Dell,Notebook,15.6,Intel Core i3,4,256.0,AMD Radeon,Linux,2.2,25840.8,Touchscreen,1920,1080,0.0,Any,SSD
Asus,Notebook,15.6,Intel Core i3,6,256.0,Nvidia GeForce,Windows,2,30742.56,Touchscreen,1920,1080,0.0,Any,SSD
HP,Gaming,15.6,Intel Core i7,12,128.0,Nvidia GeForce,Windows,2.62,66546.72,IPS,1920,1080,1024.0,HDD,SSD
HP,Notebook,15.6,Intel Core i7,8,256.0,AMD Radeon,Windows,1.91,38308.32,Touchscreen,1920,1080,0.0,Any,SSD
HP,Notebook,15.6,AMD,4,500.0,AMD Radeon,Windows,2.1,18594.72,Touchscreen,1920,1080,0.0,Any,HDD
Dell,Notebook,15.6,Intel Core i5,8,1024.0,AMD Radeon,Linux,2.2,34472.16,Touchscreen,1920,1080,0.0,Any,HDD
HP,Ultrabook,13.3,Intel Core i7,8,256.0,Nvidia GeForce,Windows,1.38,59620.32,IPS,1920,1080,0.0,Any,SSD
Microsoft,Ultrabook,13.5,Intel Core i5,8,256.0,Intel HD,Windows,1.252,71395.2,Touchscreen,2256,1504,0.0,Any,SSD
HP,Notebook,14.0,Intel Core i5,6,256.0,Nvidia GeForce,Windows,1.58,35111.52,IPS,1920,1080,0.0,Any,SSD
Lenovo,Notebook,15.6,Intel Core i3,4,1024.0,Intel HD,Windows,1.85,22105.872,Touchscreen,1920,1080,0.0,Any,HDD
Asus,Ultrabook,14.0,Intel Core i7,8,256.0,Nvidia GeForce,Windows,1.3,63563.04,IPS,1920,1080,0.0,Any,SSD
MSI,Gaming,15.6,Intel Core i7,16,256.0,Nvidia GeForce,Windows,2.2,69210.72,Touchscreen,1920,1080,1024.0,HDD,SSD
Lenovo,Notebook,14.0,Intel Core i7,8,256.0,Intel HD,Windows,1.58,78854.4,IPS,1920,1080,0.0,Any,SSD
Asus,Ultrabook,15.6,Intel Core i7,16,256.0,Nvidia GeForce,Windows,1.5,67239.36,Touchscreen,1920,1080,1024.0,HDD,SSD
Dell,Ultrabook,13.3,Intel Core i7,8,256.0,Intel Iris,Windows,1.23,73473.12,Touchscreen,3200,1800,0.0,Any,SSD
Lenovo,2 in 1 Convertible,13.3,Intel Core i5,8,256.0,Intel HD,Windows,1.37,74538.72,IPS/Touchscreen,1920,1080,0.0,Any,SSD
HP,Notebook,14.0,Intel Core i5,4,500.0,Intel UHD,Windows,1.63,38468.16,IPS,1366,768,0.0,Any,HDD
Dell,Ultrabook,13.3,Intel Core i5,8,256.0,Intel UHD,Windows,1.21,86793.12,IPS,1920,1080,0.0,Any,SSD
HP,2 in 1 Convertible,13.3,Intel Core i5,8,256.0,Intel UHD,Windows,1.26,74538.1872,IPS/Touchscreen,1920,1080,0.0,Any,SSD
HP,Notebook,14.0,Intel Core i7,8,512.0,Intel UHD,Windows,1.63,57755.52,Touchscreen,1920,1080,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i7,8,256.0,Nvidia GeForce,Windows,2.16,60223.98239999999,IPS,1920,1080,1024.0,HDD,SSD
Asus,Notebook,17.3,Intel Core i3,4,1024.0,Nvidia GeForce,Windows,2,30049.92,Touchscreen,1920,1080,0.0,Any,HDD
Asus,Notebook,15.6,Intel Core i7,8,256.0,Nvidia GeForce,Windows,1.7,59567.04,Touchscreen,1920,1080,0.0,Any,SSD
Acer,Notebook,15.6,Intel Core i3,6,1024.0,Intel HD,Windows,2.1,25521.12,IPS/Touchscreen,1920,1080,0.0,Any,HDD
MSI,Gaming,15.6,Intel Core i7,16,256.0,Nvidia GeForce,Windows,1.8,119427.12,Touchscreen,1920,1080,2048.0,HDD,SSD
Lenovo,Notebook,15.6,Intel Core i5,8,256.0,Nvidia GeForce,No OS,2.2,33513.119999999995,Touchscreen,1920,1080,0.0,Any,SSD
HP,Notebook,17.3,Intel Core i7,16,512.0,Nvidia GeForce,Windows,2.5,67718.88,Touchscreen,1920,1080,0.0,Any,SSD
Acer,Notebook,15.6,AMD,4,256.0,AMD Radeon,Windows,2.1,24029.28,Touchscreen,1366,768,0.0,Any,SSD
HP,Notebook,15.6,Intel,4,500.0,Intel HD,No OS,1.86,13799.52,Touchscreen,1366,768,0.0,Any,HDD
HP,Notebook,14.0,Intel Core i5,8,1024.0,Intel UHD,Windows,1.63,43263.36,Touchscreen,1920,1080,0.0,Any,HDD
Asus,Notebook,14.0,AMD,4,64.0,AMD Radeon,Windows,1.65,14811.3072,Touchscreen,1366,768,0.0,Any,SSD
Dell,Notebook,17.3,Intel Core i7,16,256.0,AMD Radeon,Windows,2.8,74378.87999999999,Touchscreen,1920,1080,2048.0,HDD,SSD
HP,Notebook,17.3,Intel Core i5,8,256.0,Intel UHD,Windows,2.5,49443.84,Touchscreen,1920,1080,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i5,8,1024.0,AMD Radeon,Windows,2.36,34045.3872,Touchscreen,1366,768,0.0,Any,HDD
Dell,Notebook,15.6,Intel Core i3,4,1024.0,AMD Radeon,Windows,2.2,23922.72,Touchscreen,1920,1080,0.0,Any,HDD
Acer,Ultrabook,14.0,Intel Core i7,8,256.0,Intel UHD,Windows,1.6,47099.52,IPS,1920,1080,0.0,Any,SSD
Acer,Notebook,15.6,Intel Core i3,4,256.0,Nvidia GeForce,Windows,2.2,30476.16,Touchscreen,1920,1080,0.0,Any,SSD
HP,Notebook,15.6,Intel Core i7,8,1024.0,Intel HD,Windows,2.05,31861.44,Touchscreen,1366,768,0.0,Any,HDD
HP,Notebook,14.0,Intel Core i7,8,256.0,Intel UHD,Windows,1.63,52640.64,Touchscreen,1920,1080,0.0,Any,SSD
Lenovo,Notebook,15.6,Intel,4,1024.0,Intel HD,No OS,1.9,13445.7408,Touchscreen,1366,768,0.0,Any,HDD
Asus,Gaming,17.3,Intel Core i5,8,128.0,Nvidia GeForce,Windows,3,49976.64,Touchscreen,1920,1080,1024.0,HDD,SSD
Lenovo,Notebook,15.6,Intel Core i5,4,1024.0,Nvidia GeForce,No OS,2.2,26586.72,Touchscreen,1920,1080,0.0,Any,HDD
HP,Notebook,13.3,Intel Core i5,4,256.0,Intel HD,Windows,1.32,37242.72,IPS,1920,1080,0.0,Any,SSD
Acer,Notebook,17.3,Intel Core i3,4,1024.0,Nvidia GeForce,Windows,3,34898.4,IPS,1920,1080,0.0,Any,HDD
Lenovo,Notebook,14.0,Intel Core i5,8,256.0,AMD Radeon,Windows,1.75,59461.5456,IPS,1920,1080,0.0,Any,SSD
Lenovo,Gaming,15.6,Intel Core i7,8,256.0,Nvidia GeForce,No OS,2.4,46300.32,IPS,1920,1080,0.0,Any,SSD
Toshiba,Notebook,15.6,Intel Core i5,4,500.0,Intel HD,Windows,2.1,32074.56,Touchscreen,1366,768,0.0,Any,HDD
HP,Notebook,15.6,AMD,4,256.0,AMD Radeon,Windows,1.86,19660.32,Touchscreen,1366,768,0.0,Any,SSD
Asus,Ultrabook,14.0,Intel Core i7,8,256.0,Intel UHD,Windows,1.25,58554.72,Touchscreen,1920,1080,0.0,Any,SSD
HP,Ultrabook,12.5,Intel,8,512.0,Intel HD,Windows,0.97,107305.92,IPS/Touchscreen,3840,2160,0.0,Any,SSD
Asus,Notebook,15.6,Intel,4,1024.0,Intel HD,Windows,2,18328.32,Touchscreen,1920,1080,0.0,Any,HDD
MSI,Gaming,17.3,Intel Core i7,16,256.0,Nvidia GeForce,Windows,2.9,108105.12,Touchscreen,1920,1080,1024.0,HDD,SSD
Acer,Notebook,15.6,Intel Core i3,4,1024.0,Intel HD,Windows,2.1,23816.16,Touchscreen,1366,768,0.0,Any,HDD
Dell,Gaming,15.6,Intel Core i7,16,512.0,Nvidia GeForce,Windows,2.56,66560.5728,Touchscreen,1920,1080,0.0,Any,SSD
Dell,Gaming,15.6,Intel Core i7,8,1024.0,Nvidia GeForce,Windows,2.62,47898.72,Touchscreen,1920,1080,0.0,Any,Hybrid
Lenovo,Notebook,15.6,Intel Core i5,4,128.0,Intel HD,Windows,1.9,26533.44,Touchscreen,1366,768,0.0,Any,SSD
MSI,Gaming,17.3,Intel Core i7,16,256.0,Nvidia GeForce,Windows,2.8,100699.2,Touchscreen,1920,1080,1024.0,HDD,SSD
HP,Ultrabook,14.0,Intel Core i5,4,256.0,Intel HD,Windows,1.48,57648.96,Touchscreen,1920,1080,0.0,Any,SSD
HP,Notebook,15.6,Intel Core i5,6,256.0,AMD Radeon,Windows,1.91,32980.32,Touchscreen,1920,1080,0.0,Any,SSD
Lenovo,2 in 1 Convertible,14.0,Intel Core i3,4,256.0,Intel HD,Windows,1.74,33513.119999999995,IPS/Touchscreen,1920,1080,0.0,Any,SSD
Asus,2 in 1 Convertible,13.3,Intel Core i5,8,256.0,Intel HD,Windows,1.1,70063.2,Touchscreen,1920,1080,0.0,Any,SSD
Dell,2 in 1 Convertible,15.6,Intel Core i7,8,256.0,Intel UHD,Windows,1.56,55890.72,Touchscreen,1920,1080,0.0,Any,SSD
Toshiba,Notebook,15.6,Intel Core i3,4,500.0,Intel HD,Windows,2.1,23816.16,Touchscreen,1366,768,0.0,Any,HDD
Asus,Notebook,15.6,AMD,4,1024.0,AMD Radeon,Windows,2.03,21471.84,Touchscreen,1366,768,0.0,Any,HDD
Acer,Notebook,17.3,Intel Core i5,4,256.0,Nvidia GeForce,Windows,3,42890.4,IPS,1920,1080,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i5,8,256.0,AMD Radeon,Windows,2.13,38787.84,Touchscreen,1920,1080,0.0,Any,SSD
Lenovo,Gaming,15.6,Intel Core i7,16,256.0,Nvidia GeForce,Windows,2.5,57489.12,IPS,1920,1080,0.0,Any,SSD
Acer,Notebook,15.6,Intel,4,1024.0,Intel HD,Windows,2.1,18541.44,Touchscreen,1366,768,0.0,Any,HDD
MSI,Gaming,15.6,Intel Core i7,16,256.0,Nvidia GeForce,Windows,2.4,95850.72,IPS,1920,1080,1024.0,HDD,SSD
Acer,Notebook,15.6,Intel,4,1024.0,Intel HD,Windows,2.1,19367.8128,Touchscreen,1366,768,0.0,Any,HDD
Dell,Gaming,15.6,Intel Core i7,8,128.0,Nvidia GeForce,Windows,2.56,56502.9072,Touchscreen,1920,1080,1024.0,HDD,SSD
Acer,Notebook,17.3,Intel Core i5,8,256.0,Nvidia GeForce,Windows,3,45501.12,IPS,1920,1080,0.0,Any,SSD
HP,Notebook,13.3,Intel Core i5,4,500.0,Intel UHD,Windows,1.49,40173.12,IPS,1920,1080,0.0,Any,HDD
Huawei,Ultrabook,13.0,Intel Core i5,8,256.0,Intel HD,Windows,1.05,71874.72,IPS,2160,1440,0.0,Any,SSD
HP,Notebook,17.3,Intel Core i5,6,2048.0,AMD Radeon,Windows,2.71,37242.72,IPS,1920,1080,0.0,Any,HDD
Lenovo,Notebook,15.6,AMD,4,500.0,AMD Radeon,No OS,2.2,16463.52,Touchscreen,1366,768,0.0,Any,HDD
Toshiba,Notebook,15.6,Intel Core i3,4,500.0,Intel HD,Windows,2,26053.92,Touchscreen,1366,768,0.0,Any,HDD
HP,Notebook,17.3,Intel Core i5,8,256.0,Nvidia GeForce,Windows,2.5,49177.44,Touchscreen,1920,1080,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i3,8,1024.0,Intel HD,Windows,2.3,24455.52,Touchscreen,1366,768,0.0,Any,HDD
Acer,Notebook,15.6,Intel Core i3,4,128.0,Intel HD,Windows,2.1,23922.72,Touchscreen,1366,768,0.0,Any,SSD
MSI,Gaming,18.4,Intel Core i7,32,512.0,Nvidia GTX,Windows,4.4,149130.72,Touchscreen,1920,1080,1024.0,HDD,SSD
Lenovo,Notebook,15.6,Intel Core i5,8,128.0,AMD R17M,Windows,1.90,43316.64,Touchscreen,1920,1080,1024.0,HDD,SSD
HP,2 in 1 Convertible,13.3,Intel Core i5,8,256.0,Intel UHD,Windows,1.29,79866.72,IPS/Touchscreen,3840,2160,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i7,16,256.0,AMD Radeon,Linux,2.02,55890.72,Touchscreen,1920,1080,2048.0,HDD,SSD
Dell,Ultrabook,13.3,Intel Core i5,8,256.0,Intel UHD,Windows,1.23,74538.72,Touchscreen,1920,1080,0.0,Any,SSD
Lenovo,2 in 1 Convertible,13.9,Intel Core i7,16,512.0,Intel UHD,Windows,1.4,98514.72,IPS/Touchscreen,3840,2160,0.0,Any,SSD
Toshiba,Notebook,15.6,Intel Core i5,8,128.0,Intel HD,Windows,2.0,42251.04,Touchscreen,1366,768,0.0,Any,SSD
Xiaomi,Notebook,15.6,Intel Core i5,8,256.0,Nvidia GeForce,No OS,1.95,63882.72,IPS,1920,1080,0.0,Any,SSD
Dell,Notebook,17.3,Intel Core i7,16,512.0,Nvidia GeForce,Windows,2.77,82530.72,Touchscreen,1920,1080,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i7,16,512.0,Nvidia GeForce,Windows,2.06,127712.16,Touchscreen,3840,2160,0.0,Any,SSD
Lenovo,Gaming,15.6,Intel Core i5,8,256.0,Nvidia GeForce,No OS,2.4,41505.12,IPS,1920,1080,0.0,Any,SSD
Acer,Ultrabook,13.3,Intel Core i5,8,256.0,Intel HD,Windows,1.12,52693.92,IPS,1920,1080,0.0,Any,SSD
Dell,Notebook,17.3,Intel Core i7,8,128.0,AMD Radeon,Windows,2.8,57808.8,Touchscreen,1920,1080,1024.0,HDD,SSD
Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,1024.0,Intel HD,Windows,1.42,150462.72,Touchscreen,2560,1440,0.0,Any,SSD
Vero,Notebook,14.0,Intel,4,32.0,Intel HD,Windows,1.3,13852.8,IPS,1920,1080,0.0,Any,Flash
